content,value
为了解决微博只能放五张图的问题，我选择了拼图，护老婆尧，撒娇卖萌尧，见风使舵尧，床戏尧，骗人尧，偷窥尧，放狠话尧及不要脸尧#张智尧##约定倒计时[电影]##张智尧谢衣# ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
哈哈哈分享个萌萌的毛茸茸的动画片～愤怒的小鸟之蓝弟弟还记得当初看愤怒的小鸟电影从头到尾笑成猪 ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
在儿时朋友栽（洪天明饰）和刚刚出狱的弟弟可勇（陈伟霆饰）介绍下……超简单的森林系发型教程。一夜间顿时成为双失青年、【男人不可以穷】向来安于现状的白领青年薛可正（黄宗泽饰）。同时拍拖多年的女友以娜（邓丽欣饰）提出分手！薛可正误打误撞进入一金融公司成为黄金经纪[c摇头看] ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOBIIIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
还记得奇异博士里史传奇戴的积家手表吗？等了这么久本尼Benedict Cumberbatch终于成为积家的新一季代言人了！！！坐等收新的同款！！ ?,OOOBIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
气死我了，二哥和珅哥都和我讨论剧情，今晚想剧情要睡不着了，02年的时候就那么帅，那个笑真酥死我了。好帅好帅?(??3｀?)? 所有大咖都是经典，致敬经典，5h+的电影没白看（手补） 无间道#无间道2[电影]##无间道3：终极无间[电影]# ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
魔兽世界7.3.5上线的猎人宠物：几种新猎人宠物已在7.3.5版本上线，其中包括高分辨率版本的异种虫哨兵，新的影豹与法力鳐配色。这些宠物最初在wowhead12月份的数据挖掘中被发现，而现在，Petopia的玩家们逐渐发现了所有宠物的位置。网页链接 ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
大耳朵图图、成龙历险记、开心超人、古灵精探，少年包青天都是小时候看的到现在还找着看看的剧，一直觉得成龙历险记的黑影兵团特别的帅。小鲤鱼历险记里面的刺球对我来说是像丧尸病毒一样的存在，特别恐怖。还有好多我到现在还记得的动画片像超兽武装啦，平行宇宙就是在这里面知道的，还有小哪吒等等。 ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
?我正在收听周杰伦的单曲彩虹(命运呼叫转移电影主题曲)?网页链接（来自@QQ音乐） ?,OOOOOOOOOOOOOOOBIIIIIOOOOOOOOOOOOOOOOOOOOOO
贺岁喜剧一路惊喜曝光同名宣传曲MV：MV中活泼可爱的舞蹈动作不仅与电影的喜剧基因一脉相承。还在抱怨最近运气不好……快跟随一路惊喜年度转运舞一起扭一扭吧！动感十足！这首由凤凰传奇献唱的一路惊喜：更完美传递了影片的欢馨基调，堪称“2015年度转运舞”：曲风欢快 ?,OOOOBIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
【将错就错】这部由小沈阳田亮组合搭档的爆笑喜剧以一段新加坡囧途之旅开始、范文芳等人！错综复杂的人物关系之中一场危机一触即发……其后二人巧遇陈小春，熊黛林…… |济南·玉周... ?,OBIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
看过降魔传 我的评分：★ 这五毛的特效，两毛五的剧本，跑男的演技，简直让人想起王晶的电影！什么，导演就是这个胖子？…… |神魔道 (20... ?,OOBIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
周迅在演唱会上宣布和高圣远的婚讯，【我的早更女友曝周迅婚照戏内外获完美爱情】：而由她主演的治愈性喜剧我的早更女友也于今日曝光了一组周迅婚纱主题剧照作为祝福 ?,OOOOOOOOOOOOOOOOOOBIIIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
|侠盗联盟，一星给华仔；一星给舒淇；一星给蜘蛛；一星给小紫；剧情负一星，太辣鸡太拖沓了，逻辑也不通；人物负一星，舒淇剧中来回反转，没有逻辑支撑。无间道？碟中谍？夺宝联盟？都不是。 ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
"这部选秀之日与此前布拉德·皮特的棒球题材励志电影点球成金颇有几分相似……凯文·科斯特纳新作预告联手珍妮弗·加纳""点球成金"".凯文·科斯特纳联手“小本嫂”珍妮弗·加纳主演。本片剧本曾在好莱坞剧本“黑名单”中榜上有名。 ?",OOBIIIOOOOOOOOOOOOOOOOOOBIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
杀人。躲进山洞后，隐秘的真相逐渐浮出水面！幸存者的周围，【诡劫】这是一个发生在重庆某山洞的真实故事改编[dx没有] ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOBIOOOOOOOOOOOOOOOOOOOOOOOOOOOO
我正在爱奇艺看偶滴神啊，快来 @爱奇艺 一起看！偶滴神啊 ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
#枢梁# 枢梁老师推特更新就像是修罗场前的最后一次机会，我和责编K桑一起看了#路易的第九条命。电影开始了10分钟，我就被导演的厉害的画面感所吸引到。视觉上的说服力很厉害。一到登场人物做选择，我就说「这样不行啊」，就这样看完了电影。我学习到了很多【枢】翻译能力有限，如有错误请指出? ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
这个杀手不太冷和雷神2的女主！才发现是同一个人！美哭[憧憬]//@全球视觉盛宴:女神~,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
#恋与制作人同人#让你哭到撕心裂肺的那个人，是你最爱的人；让你笑到没心没肺的那个人，是最爱你的人。 ???,OBIIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
改编自作家李承鹏同名小说的喜剧电影李可乐寻人记正在昆明热拍，片方昨日举行影片首次媒体探班。巩新亮 一袭性感秘书的装扮演起来也是驾轻就熟，而这个秘书性格上则颇为严谨，是一名典型的美貌才能兼具的女白领。据悉，影片还将在昆明继续拍摄一段时间，其后将转场泰国 ?,OOOOOOOOOOOOOOOOOBIIIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
与她的遇见，简单平凡，质朴中秀出惠忠柔贤，相约的时候总是在心境舒爽的雨后。,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
她问  君  哪一天共迹天涯？,OOOOOOOOOOOOOOO
吾愿伴君涉险天涯……………………,OOOOOOOOOOOOOOOO
今昔照见，预归、伤城一片……,OOOOOOOOOOOOOO
只有你在，我才好在……,OOOOOOOOOOO
 好在茶馆,OOOOO
关注小迹哥微?信号  13577536611,OOOOOOOOOOOOOOOOOOOOOO
简单相信  真诚做事  酬勤感恩 ??? ?,OOOOOOOOOOOOOOOOOOOOOO
哇！！//@糖森君:…………哭了//@39未学行先学跑:[doge]你们要不要贴一个这样的窗花呀//@就爱舔酸奶盖儿:@傻子君 //@柳亦-人间优格: …………我看了5遍[允悲]//@凌城没空写文:@啪嗒砰不瘦下来不换名 [哆啦A梦吃惊]//@放开那个空巢老兽:哈哈哈哈哈哈怎么办真的有点苏啊！！！,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
郑亦含#再见2017你好2018# 2018年过有准备的人生~！,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
@张萌_萌姐 @秋之白华哟 @lucky焦焦 @小谢9696 ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
老妈认为这是教育的好时机、于是当着这货的面打了我、以大气场景展现音乐的恢宏、汪苏泷脱离地心引力的束缚在浩瀚太空漂浮。 ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
【王佳芝_百度百科】王佳芝，是张爱玲短篇小说色，戒中主角（原型：郑苹如），生于1918年，中日混血。中统情报人员，上海沦陷后，混迹于日伪人员当中，获取情报。后参与暗杀日伪特务头... http://t.cn/RHpLXkw ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
#李易峰数字单曲角色##美出了界##带着微博去旅行#【快过年了，12种东西千万不能送，会闯祸！】1）不能送钱包2）不能送刀剑3）不能送“财神”4）不能送鱼缸5）不能送钟表6）不能送鞋7）不能送伞8）不能送梨和李子9）不能送蜡烛10）不能送布娃娃11）不能送人来历不明的石头和古董12）不能送枕头 ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
在驱魔题材上也无法给出新鲜的体验。只会让人越加怀念温子仁那部优秀的招魂！潜伏系列走到第三部也差不多该来个终结。【潜伏3】没有了温子仁：这个系列的吓人手段就剩下一惊一乍了；作为潜伏系列编剧的雷·沃纳尔执导的效果是；缺少足够丰满的恐怖表现力……即便套模子似地勉强拍下去 ...全文： http://m.weibo.cn/2842748293/4191387932990056 ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOBIOBIOOOOOOOOOOOOOOOOOOBIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
纹身师的生日都要参加啊[允悲][允悲][允悲]//@Rinmaze:[爱你]//@奉必_:我也爱中中哈哈哈//@金在中影视博:超级幸福的我的生日这一天~谢谢来的每一位珍贵的朋友，特别是义气男 超级感动 #humanity star#金在中#爱您#,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
#溏心风暴3##人生历程#【天使真的存在】当别[做鬼脸]的孩子还在玩泥巴的时候，9岁的澳洲小男孩Campbell每天都会制作一只泰迪熊，送给正在医院经历病痛的孩子，4年里他一共做了1300只！一些在巴塞罗那恐怖袭击案，拉斯维加斯枪击案里受伤的孩子，也收到了他做的小熊。Campbell说他从没想过停下，会一直...全文： http://m.weibo.cn/6236654703/4191562105528803 ?,OBIIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
生命密码的编导[喵喵]//@凤凰卫视田桐: 公司同事几个月前还是大胡子外国人，几个月后成中国人啦！,BIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
元旦当天，高速上一辆运输新车的大货车突然着火，14辆新车有10辆在大火种被烧毁，宝马奥迪等被烧成空壳，损失惨重。火灾原因调查中。http://t.cn/RHjJuVq、http://t.cn/RHOjVAU ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
#BJ单身日记[电影]##BJ单身日记2：理性边缘[电影]##单身日记：好孕来袭[电影]#一口气把123看完～中年少女的玛丽苏电影～ ?,OBIIIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
国产票房前十没看的我不说，大闹天竺和悟空传烂的无言以对，速8只有场面没有剧情居然是海外电影第一，可见票房和质量真没啥特别大的直接联系。另外，岳云鹏一年出六部电影，六部都是烂片，这得是多烂的选戏眼光和运气才能做到啊。[跪了],OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
#种电影##种电影君##圣诞玫瑰# 张震辩护律师夏雨在法庭上把杜纶镁的辩护律师郭富城杀的片甲不留 偏远地区张... ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
//@-侃风-: //@oohSH少年://@小芬崽崽://@五四芬://@没错我就是一条大鱼://@又老又丑还没几根头发:噪点也无法锐掉的古典雕塑轮廓//@桃子果酱和你:鼻子线条真的满分,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
#王思聪回应#红花会是红花油嘛PGone是干嘛的？嘻哈是什么鬼这之前真的啥都不懂。总觉得人嘛，什么年纪做什么事情，36岁了搞得跟叛逆小青年似的，好好的演员不当往网红脸走，然后又去搞啥嘻哈，有家有女的发生这样的事情是不是有点活该呀！最后祝王思聪生日快乐今天这事干得漂亮 ???,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
@影子爱人Psh 转一波,OOOOOOOOOOOO
我幂最美[喵喵]//@涵木姗Annie:杨幂呀，大寒桃花开的时候特别美。 http://t.cn/RHEQejd,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
【你好旧时光30 精彩大结局】由李兰迪、张新成等领衔主演的青春甜爱偶像剧#你好旧时光#即将完结，在大结局的预告中，双生双旦上演集体婚礼，余周周嫁给了林杨，凌翔茜嫁给了蒋川，世界上最美好的事莫过于嫁给爱情。 电视圈大哥的秒拍视频 ???,OBIIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOBIIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
深宫怨灵.HD-720P高清国语中字MP4电影.2017恐怖片迅雷下载_BT天堂种子_Mp4电影库网页链接 ?,BIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
年龄不断增加……一定要注意保养皮肤及疏通毛细孔哦、皮下脂肪层组织因胶原蛋白的遗失而松弛；缺乏弹性、赵奕欢温情浪漫爱爱囧事插曲MV喜欢也相继曝光；在之前曝光了主题曲MV男人不能惯后、【毛孔粗大两大因】1……毛孔自然会扩大2；角质无法正常脱落，加上血液循环不顺畅。 ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOBIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
离开那个无望的环境、眼见妹妹深陷其中、邹雨怒其不争；以前只在电视剧里看到的狗血情节居然就发生在自己亲人身上……并决定不再让妹妹踏入那个公司一步：妹妹邹月暗恋公司老板林启正不成而自杀进了医院，【第三种爱情】一个职业为律师的女孩邹雨……邹雨决定让妹妹辞职 ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
【第87届奥斯卡奖提名公布 「辉夜姬物语」等五动画入围】奥斯卡金像奖是一年一度影视界备受瞩目的四大电影奖之一。第87届奥斯卡金像奖公布了提名名单。动画方面，「超能陆战队」、「驯龙高手2」、「盒子怪」、「海洋之歌」和「辉夜姬物语」 五部电影入围了这次的提名名单。 ?,OOOOOOOOOOOOOOOBIIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
看过昼颜 电影版 我的评分：★★★ 女主挺漂亮 再无其他 http://t.cn/RcdQagC ?,OOBIIIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
给@陈都灵 小姐姐打call[心][心][心]#陈都灵最好的小姐姐##陈都灵如果爱#,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
我在由OPPO R11s新年正当红冠名的2017#微博之夜#活动中，为#李易峰心理罪#的李易峰投出了重要20票！谁才是你的最爱？当红人物由你成就，微博一起见证！猛戳http://t.cn/RTIQW9U投票，还能赢取大奖哦！ ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
哭点极低，看动画片调酒师哭一整集。去影院看尼斯，从第一张曼荼罗画哭到片尾。近期只有芳华让我铁石心肠了不但没哭还反胃。虽然也承认它技术上不算难看。。总的来说去年没有浪费钱和时间在影院看烂片，最喜欢的三部院线片应该是天梯、妖猫传和嘉年华了。今年也贯彻远远闻见糊味儿就不去看了的原则吧。 ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOBIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
中博传媒2012年双片发布会，宣布许秦豪执导的危险关系入围戛纳电影节“导演双周”单元，该片集合了章子怡、张东健、张柏芝三大主演；郭在容则与失恋33天的编剧鲍鲸鲸以及音乐人李偲菘合作，打造电影叫醒爱情。郭在容不想再提杨贵妃不辞而别的事，说以后有机会说明。（CC） ?,OOOOOOOOOOOOOOOOOOOOOOOBIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
看过合约男女，我评：[星星][星星][星星][星星]  http://t.cn/R0P8BNZ 来自@淘票票 ?,OOBIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
||╭ァ茶靡花落丶岁末蹉跎:||呮婹杺够蕝:||木乃伊:兄弟门，有点对呀耶、imissyou；:||懂∕ㄋˉ许哆:我属于哪一种呢：||梦芯~燎原；黑衣人3，最痛苦的真相也好过最甜蜜的谎言 ?,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOBIIIOOOOOOOOOOOOOOOOOO
张瑶等主演都市悬疑情感片与贼同屋（8.29）公映；影片讲述陈廷嘉饰演的话剧演员为情所困沦落荒宅。【与贼同屋】范逸臣。陈廷嘉。矛盾的心理和复杂情感将何去何从、偶遇范逸臣饰演的飞贼冯年！彼此防备却又彼此依托！两人同在陋室各怀心事。 ???,OOOOOOOOOOOOBIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
看了两天 周迅的老电影从苏州河 缓缓游向 李米的猜想?分享单曲Victoria（@网易云音乐） ???,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
【蔻赛品牌形象大使】,OOOOOOOOOO
——文咏珊，来自中国香港，与LV、GUCCI等国际大牌长期合作，同时也是一名优秀的演员！,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
2012年，与任达华、张家辉主演大追捕,OOOOOOOOOOOOOOOOBII
2014年，与张学友、张家辉主演赤道,OOOOOOOOOOOOOOOOBI
2015年，与吴奇隆合作蜀山战记之剑侠传奇,OOOOOOOOOOOOBIIIIIIII
2016年，与周润发搭档出演寒战2,OOOOOOOOOOOOOOBII
2017年，她是九州海上牧 ?,OOOOOOOOOOOOOOO
呵呵，复联3快上了，他们说啥我都不能轻信(喂),OOOBIIOOOOOOOOOOOOOOOOO
@优雅喵kikiki ?//@尤西斯家小草莓://@放弃治疗小毛球://@克罗迪厄斯柒世:本来对秦岚的印象还停留在王的盛宴里吕雉的造型上//@鹿菲尔德://@我苹果牛:精辟！//@刘彬:精彩！,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
#声临其境# 第一期看完了，觉得这么高收视率是有道理的潘粤明配尔康那里，完全抓住了他声音的特点，就是那种有点哑的感觉~特别厉害张歆艺真的让我好惊讶啊，之前对她没什么印象，结果没想到台词这么好，配了我最喜欢的华妃的桥段~赵立新真的很厉害，配功夫熊猫都是用英文，台词不是一般的棒啊！声 ???...全文,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
我新发现的超精彩漫画：#墨斗线# 临安知县魏广陵一日救出一来历不明的少女，由此引发的一系列故事…… (分享自@可米酷漫画) 网页链接 ???,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
看过名侦探柯南：纯黑的恶梦，我评：[星星][星星][星星][星星][星星]  网页链接 来自@淘票票 ???,OOBIIIIIIIIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
军中乐园，有这样点评的：秘密与谎言，忠诚与正义，他们一起被禁锢在这个风光明媚的小岛上，准备面对时代与命运的荒谬无情。,BIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
#星球大战8:最后的绝地武士# 星球大战：最后的绝地武士故事紧接星球大战：原力觉醒结尾，讲述了遥远的银河系中恐怖政权“第一秩序”袭击新共和国首都霍斯尼亚主星之后所发生的故事,OBIIIIIIIIIIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
怀念梅姑！永记经典！//@我就是爱猫的小主://@粤语金曲精选:转发微,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
因为是你演的电影一定要去关注的呀！好喜欢萧敬腾演技没话说的游戏规则这电影一定会支持#萧敬腾王呈章合唱# ???,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
"想一想你为什么坚持了这么久、蜗居“海藻”一角,让李念一剧成名；具有挑战性的角色“韩雨莲”,颠覆之前深入人心的“海藻”。24日起南方卫视播出的年代心灵史诗剧绞刑架下的春天,是李念结婚生女后首部与观众见面的作品,她直言希望借剧中这个复杂；但蜗居之后年纪轻轻的她却选择了结婚生子； ?...全文",OOOOOOOOOOOOOOBIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
【“淞沪会战”的“淞”指哪里】淞沪会战是抗日战争的重要战役。“淞沪”之“沪”无疑指上海；而“淞”，指吴淞口或吴淞江。吴淞江发源于太湖，东流至上海与黄浦江合流入海。其上海段今称苏州河。明清在吴淞口置多座炮台，民国称吴淞要塞。可见，淞沪会战指中国军队在吴淞口和上海地区抗击日寇的战役。 ???,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
【国产3D动画一万年以后曝光人类毁灭……宫崎骏岁月的童话插曲，精细的特效画面……或可初见端倪……让柔美的钢琴声带你进入唯美宁静的世界。颇具现象力的镜头；加上以暴力美学为主体的重口味设定…… ?,OOOOOOOBIIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
为什么投资人不长记性，上次那个天生我刺，写刺猬的就不行。,OOOOOOOOOOOOOOOOOOOOOOOOOOOO
权利的游戏中的珊莎·史塔克扮演者索菲·特纳惊喜客串表演。另一天是你想通为什么来到这个世界上：镜头前仿佛在上演杀戮飞车：2010年成立的英伦乐队Bastille新单obilivion超清MV首播、一天是你来到这个世界上，人们期待这这一场遗落战境……Thetwomostimportantdaysinyourlifearethedayyouwerebo ???...全文,BIIIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
